Disease_ID,Disease,Disease_Type,Causative_Agent,Main_Animals_Affected,Transmission_or_Risk_Factors,Key_Properties_and_Signs,Treatment_or_Control,Prevention_Methods,Zoonotic_Risk,SADC_2011_Outbreaks,SADC_2011_Cases,SADC_2011_Deaths,SADC_2011_Destroyed,SADC_2011_Slaughtered,SADC_Yearbook_Source,Reference_and_Data_Notes,Botswana_Wildlife_Context_Species,Wildlife_Population_Context,Wildlife_Digest_2014_Source_and_Limitation
24,Contagious equine metritis,Bacterial; venereal,Taylorella equigenitalis,Horses,"Natural breeding; contaminated semen, hands and breeding equipment; carrier mares and stallions",Temporary infertility; endometritis; vaginal discharge; many carrier stallions show no signs,Veterinary cleansing and topical or systemic antimicrobials; repeat testing is needed to confirm clearance,Pre-breeding testing; certified semen; strict breeding hygiene; quarantine and treatment of carriers,No,11,35,,,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
25,Contagious ophthalmia,Bacterial syndrome,Commonly Moraxella bovis in cattle; Mycoplasma or Chlamydia-related agents in small ruminants,"Cattle, sheep and goats","Direct contact, flies, dust, ultraviolet light and ocular irritation",Tearing; eye pain; conjunctivitis; corneal opacity or ulceration; reduced grazing,Veterinary topical or systemic antimicrobials appropriate to species and cause; protect the eye and control pain,Fly control; reduce dust and eye injury; isolate cases; vaccination may help in selected cattle herds,No,146,374,5,,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence. The annex uses a syndromic disease label; causative agents differ by animal species.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
26,Contagious pustular dermatitis,Viral,"Orf virus, a Parapoxvirus",Sheep and goats; humans,Direct contact with scabs or contaminated equipment; virus persists in the environment,"Proliferative scabby lesions on lips, muzzle, teats or feet; young animals may struggle to suckle",Usually self-limiting; supportive care and veterinary treatment of secondary bacterial infection,Isolate affected animals; wear gloves; disinfect equipment; use live vaccine only on endemic premises under veterinary guidance,Yes,65,958,23,,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
27,Corridor disease,Protozoal; tick-borne,Buffalo-derived Theileria parva,Cattle; African buffalo are the reservoir,Rhipicephalus appendiculatus ticks moving infection from buffalo to cattle,High fever; enlarged lymph nodes; respiratory distress; pulmonary oedema; often very high mortality,"Early veterinary antitheilerial treatment such as buparvaquone where available, plus supportive care",Tick control; manage buffalo-cattle contact; movement surveillance; infection-and-treatment immunisation only under specialist programmes,No,7,25,6,1,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Buffalo,"Buffalo: 61,105 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
28,Dermatophilosis,Bacterial skin disease,Dermatophilus congolensis,"Cattle, sheep, goats, horses and wildlife","Prolonged wetting damages skin; direct contact, ticks and biting insects aid spread",Paintbrush-like crusts; matted hair or wool; painful moist dermatitis; reduced condition,Keep animals dry; remove crusts carefully; veterinary antibiotics for severe disease; control ectoparasites,Shelter from prolonged rain; tick control; isolate affected animals; disinfect grooming equipment,Rare,460,4623,233,15,1198,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Buffalo; Giraffe; Eland; Kudu,"Buffalo: 61,105 (2012 countrywide estimate); Giraffe: 8,976 (2012 countrywide estimate); Eland: 34,735 (2012 countrywide estimate); Kudu: 23,038 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
29,Distomatosis (liver fluke),Parasitic; trematode,Fasciola hepatica or Fasciola gigantica,Ruminants and other grazing mammals; humans can be infected,Animals ingest metacercariae on wet pasture; freshwater snails are intermediate hosts,Anaemia; bottle jaw; poor growth; reduced milk; liver damage; sudden death in heavy acute infections,Veterinary flukicides selected for the parasite stage and local resistance pattern; supportive care for severe anaemia,Drain or fence high-risk wet areas where feasible; strategic treatment; manage snail habitats and grazing; quarantine treatment of introductions,"Yes, foodborne",48,391,23,29,125,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Buffalo; Eland; Kudu; Lechwe,"Buffalo: 61,105 (2012 countrywide estimate); Eland: 34,735 (2012 countrywide estimate); Kudu: 23,038 (2012 countrywide estimate); Lechwe: 26,322 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
30,Dourine,Protozoal; venereal,Trypanosoma equiperdum,"Horses, donkeys and mules","Primarily sexual transmission; unlike most trypanosomoses, no insect vector is required",Genital swelling and discharge; skin plaques; weight loss; progressive neurological weakness,Treatment is unreliable and may leave carriers; official eradication programmes generally require removal of infected equids,Test breeding animals; restrict movement and mating; use disease-free breeding stock; rapid official reporting,No,22,50,3,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
31,East Coast fever,Protozoal; tick-borne,Cattle-derived Theileria parva,Cattle,Rhipicephalus appendiculatus ticks,High fever; enlarged lymph nodes; respiratory distress; pulmonary oedema; high mortality in susceptible cattle,"Early veterinary antitheilerial treatment such as buparvaquone where available, plus supportive care",Integrated tick control; infection-and-treatment vaccination where authorised; quarantine and inspect introduced cattle,No,69,641,177,,20,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
32,Echinococcosis/hydatidosis,Parasitic; cestode,Echinococcus granulosus sensu lato,Dogs are definitive hosts; livestock and humans are intermediate hosts,Dogs eat infected offal and shed eggs; livestock and people ingest eggs from contaminated environments,Hydatid cysts are usually subclinical in livestock but cause organ condemnation; human disease can be severe,No routine livestock cure; treat dogs with effective cestocides under a control programme,Do not feed raw offal to dogs; regular dog deworming; control stray dogs; meat inspection; safe offal disposal and hand hygiene,Yes,89,527,,41,2097,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Jackal; Wild dog; Eland; Kudu; Impala; Gemsbok,"Jackal: No 2012 countrywide estimate reported in Table 1.2a; Wild dog: No 2012 countrywide estimate reported in Table 1.2a; Eland: 34,735 (2012 countrywide estimate); Kudu: 23,038 (2012 countrywide estimate); Impala: 114,900 (2012 countrywide estimate); Gemsbok: 133,249 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
33,Enterotoxaemia,Bacterial toxin; clostridial,Usually Clostridium perfringens type D or C,Sheep and goats; calves and other young livestock can be affected,Rapid diet change or rich feed permits intestinal overgrowth and toxin production,Sudden death; abdominal pain; diarrhoea; nervous signs; rapid decomposition,"Antitoxin, antibiotics and supportive care may help very early cases; severe cases often die quickly",Routine clostridial vaccination with boosters; gradual ration changes; avoid sudden grain overload,No,32,112,92,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
34,Enzootic abortion of ewes,Bacterial,Chlamydia abortus,Sheep and goats; pregnant humans are at particular risk,"Placenta, aborted fetuses and uterine discharge contaminate bedding and pasture",Late-term abortion; stillbirth; weak lambs or kids; placentitis,Veterinary tetracycline treatment may reduce losses but does not reliably eliminate infection,Vaccinate before breeding where available; isolate aborting animals; dispose of fetuses and placenta safely; PPE and strict hygiene,Yes,5,102,77,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
35,Enzootic bovine leukosis,Viral; retroviral,Bovine leukaemia virus,Cattle,"Blood transfer through needles, instruments, biting insects or close management; colostrum and milk can contribute",Most cattle remain asymptomatic; persistent lymphocytosis; a small proportion develop lymphosarcoma,No cure or vaccine; manage or remove infected animals according to herd goals,Test and segregate or cull; single-use needles and gloves; disinfect instruments; manage colostrum and blood exposure,No,3,9,,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
36,Equine encephalomyelitis,Viral; mosquito-borne,"Eastern, Western or Venezuelan equine encephalitis viruses",Equids; humans can be infected through mosquitoes,Mosquito vectors maintain cycles with wild birds or rodents; equids are usually dead-end hosts except in some VEE cycles,Fever; depression; incoordination; seizures; recumbency; high mortality,No specific antiviral cure; intensive supportive and anti-inflammatory care,Routine equine vaccination based on regional risk; mosquito control; reduce exposure at peak biting times,"Yes, vector-borne",1,1,,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Zebra,"Zebra: 99,077 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
37,Equine piroplasmosis,Protozoal; tick-borne,Theileria equi and Babesia caballi,"Horses, donkeys, mules and zebras",Ticks; contaminated needles or blood products; carrier equids,Fever; anaemia; jaundice; weakness; oedema; reduced performance; possible death,"Veterinary antiprotozoal treatment, commonly imidocarb-based where approved, plus supportive care",Tick control; test animals before movement; sterile needles and equipment; manage carrier animals,No,16,18,,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Zebra,"Zebra: 99,077 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
38,Equine rhinopneumonitis,Viral,Equine herpesvirus 1 and 4,Horses,Respiratory secretions; direct contact; contaminated equipment; latent carriers can reactivate,"Fever and respiratory disease; EHV-1 can cause abortion, neonatal death and neurological disease",Isolation and supportive care; antivirals may be considered by a veterinarian in selected cases,Vaccination reduces respiratory disease and abortion risk but does not fully prevent neurological disease; biosecurity and temperature monitoring,No,1,1,1,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
39,Foot and mouth disease,Viral,"Foot-and-mouth disease virus, an Aphthovirus; annex entries include untyped, SAT 1 and SAT 2","Cattle, pigs, sheep, goats and other cloven-hoofed animals",Aerosols; direct contact; contaminated vehicles and equipment; animal products; movement of infected animals,Fever; mouth and foot vesicles; salivation; lameness; production loss; high mortality can occur in young animals,"No specific cure; report immediately and follow official movement, culling, vaccination and outbreak-control policy",Biosecurity and movement controls; surveillance; cleaning and disinfection; risk-based vaccination with matching strains under official programmes,No,231,10756,243,40,25,"Annex p.58; Section 5.5, pp.20-22","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence. The three annex rows—untyped, SAT 1 and SAT 2—were consolidated by summing their reported figures.",Buffalo; Warthog; Giraffe; Eland; Kudu; Wildebeest; Gemsbok; Impala; Lechwe; Springbok; Hartebeest,"Buffalo: 61,105 (2012 countrywide estimate); Warthog: 7,026 (2012 countrywide estimate); Giraffe: 8,976 (2012 countrywide estimate); Eland: 34,735 (2012 countrywide estimate); Kudu: 23,038 (2012 countrywide estimate); Wildebeest: 53,159 (2012 countrywide estimate); Gemsbok: 133,249 (2012 countrywide estimate); Impala: 114,900 (2012 countrywide estimate); Lechwe: 26,322 (2012 countrywide estimate); Springbok: 35,688 (2012 countrywide estimate); Hartebeest: 62,569 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
40,Footrot,Bacterial hoof disease,"Primarily Dichelobacter nodosus, often with Fusobacterium necrophorum",Sheep and goats; cattle have a related interdigital disease,Contaminated wet ground and direct flock spread; hoof damage and prolonged moisture increase risk,Lameness; foul odour; interdigital inflammation; separation of hoof horn in severe cases,Hoof assessment; approved footbaths or veterinary antimicrobials; isolate and cull chronic carriers where necessary,Quarantine and inspect replacements; keep standing areas dry; strategic footbathing; select resistant stock,No,103,659,13,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
41,Fowl cholera,Bacterial,Pasteurella multocida,"Chickens, turkeys, ducks and wild birds",Contact with infected birds or carriers; contaminated water; rodents and wild birds,Sudden death or septicaemia; swollen wattles; respiratory signs; chronic joint and ear infections,Early susceptibility-guided veterinary antimicrobials may reduce losses but carriers can persist,Vaccination in endemic flocks; rodent and wild-bird control; sanitation; remove carcasses and chronic carriers,Rare,1,3,,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Ostrich,"Ostrich: 55,916 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
42,Fowl pox,Viral,Avipoxvirus,"Chickens, turkeys and other birds",Mosquitoes; contact through skin injuries; persistent scabs and contaminated equipment,Dry skin scabs on comb and wattles; wet diphtheritic lesions in mouth or airway; reduced production,No specific antiviral cure; supportive care and treatment of secondary bacterial infection,Vaccination in risk areas; mosquito control; isolate affected birds; disinfect housing and equipment,No,222,5341,2045,2,2,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Ostrich,"Ostrich: 55,916 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
43,Fowl typhoid,Bacterial,Salmonella enterica serovar Gallinarum,Chickens and turkeys,Vertical and faecal-oral transmission; carrier birds and contaminated hatcheries,Septicaemia; weakness; greenish diarrhoea; reduced egg production; high mortality,Antimicrobials may suppress disease but can leave carriers; eradication relies on testing and removal,Source disease-free breeder stock; hatchery hygiene; test and cull carriers; vaccination where endemic and authorised,No significant zoonotic risk,,,,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
44,Goat mange,Parasitic; mite infestation,"Sarcoptes, Psoroptes, Chorioptes or Demodex mites",Goats,"Direct contact and contaminated housing, bedding or grooming equipment",Intense itching; crusts; hair loss; thickened skin; poor growth and production,Treat the whole affected group with an approved acaricide; repeat according to the product and mite life cycle; manage secondary infection,Quarantine and inspect new goats; clean housing and equipment; treat contacts; avoid under-dosing,Some mites can cause temporary dermatitis in humans,94,21156,687,5,104,"Annex p.58; Section 7.6, pp.51-52","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
45,Haemorrhagic septicaemia,Bacterial,"Pasteurella multocida, commonly serotypes B:2 or E:2",Cattle and buffalo,"Close contact and respiratory spread; outbreaks are favoured by stress, crowding and wet seasons",Sudden high fever; throat and neck swelling; breathing difficulty; rapid death,"Immediate veterinary antibiotics before advanced signs, plus supportive care; isolate cases",Vaccination before the risk season; reduce transport and crowding stress; movement control and early reporting,No,17,72,26,,,Annex p.58,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
46,Heartwater,Bacterial; tick-borne,Ehrlichia ruminantium,"Cattle, sheep, goats and susceptible wild ruminants",Amblyomma ticks; carrier ruminants maintain infection,High fever; nervous signs; respiratory distress; fluid around the heart and lungs; high mortality in susceptible animals,Very early veterinary tetracycline-class treatment and supportive care,Integrated Amblyomma tick control; surveillance; vaccination or infection-and-treatment approaches only where officially used,No,792,2586,923,1,,"Annex p.58; Section 7.7, p.53","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Buffalo; Eland; Kudu; Wildebeest; Gemsbok; Impala; Lechwe; Springbok; Hartebeest; Giraffe,"Buffalo: 61,105 (2012 countrywide estimate); Eland: 34,735 (2012 countrywide estimate); Kudu: 23,038 (2012 countrywide estimate); Wildebeest: 53,159 (2012 countrywide estimate); Gemsbok: 133,249 (2012 countrywide estimate); Impala: 114,900 (2012 countrywide estimate); Lechwe: 26,322 (2012 countrywide estimate); Springbok: 35,688 (2012 countrywide estimate); Hartebeest: 62,569 (2012 countrywide estimate); Giraffe: 8,976 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
